CustomerID,Country,TotalValue
12346.0,United Kingdom,0.0
12347.0,Iceland,4310.0
12348.0,Finland,1797.24
12349.0,Italy,1757.55
12350.0,Norway,334.4
12352.0,Norway,1545.41
12353.0,Bahrain,89.0
12354.0,Spain,1079.4
12355.0,Bahrain,459.4
12356.0,Portugal,2811.43
12357.0,Switzerland,6207.67
12358.0,Austria,1168.06
12359.0,Cyprus,6174.58
12360.0,Austria,2662.06
12361.0,Belgium,189.9
12362.0,Belgium,5154.58
12363.0,Unspecified,552.0
12364.0,Belgium,1313.1
12365.0,Cyprus,320.69
12367.0,Denmark,168.9
12370.0,Austria,277.2
12370.0,Cyprus,3264.74
12371.0,Switzerland,1887.96
12372.0,Denmark,1298.04
12373.0,Austria,364.6
12374.0,Austria,742.9300000000001
12375.0,Finland,455.42
12377.0,Switzerland,1628.12
12378.0,Switzerland,4008.62
12379.0,Belgium,850.29
12380.0,Belgium,2720.56
12381.0,Norway,1803.96
12383.0,Belgium,1839.31
12384.0,Switzerland,566.16
12386.0,Australia,401.9
12388.0,Australia,2780.66
12390.0,Belgium,549.84
12391.0,Cyprus,439.66
12393.0,Australia,1582.6000000000001
12394.0,Belgium,381.08
12394.0,Denmark,891.4
12395.0,Belgium,2998.28
12397.0,Belgium,2409.9
12398.0,Switzerland,1635.6599999999999
12399.0,Belgium,1108.65
12401.0,Belgium,84.3
12402.0,Belgium,225.6
12403.0,Denmark,409.7
12405.0,Finland,1710.39
12406.0,Denmark,3280.75
12407.0,Belgium,1708.1200000000001
12408.0,Belgium,2842.57
12409.0,Switzerland,11056.93
12410.0,Switzerland,681.0799999999999
12412.0,Denmark,1226.88
12413.0,France,694.15
12414.0,Austria,562.41
12415.0,Australia,123725.45
12417.0,Belgium,3142.5
12417.0,Spain,436.3
12418.0,Switzerland,668.58
12420.0,Cyprus,600.39
12421.0,Spain,806.27
12422.0,Australia,386.2
12422.0,Switzerland,417.36
12423.0,Belgium,1849.11
12424.0,Australia,1760.96
12425.0,Portugal,777.2
12426.0,Germany,582.73
12427.0,Germany,708.37
12428.0,Finland,7877.2
12429.0,Austria,437.98
12429.0,Denmark,3312.42
12430.0,Norway,256.4
12431.0,Australia,5376.11
12431.0,Belgium,972.78
12432.0,Norway,5059.32
12433.0,Norway,13375.87
12434.0,Australia,765.19
12435.0,Denmark,7829.89
12436.0,Norway,509.01
12437.0,France,4896.66
12438.0,Norway,2906.85
12441.0,France,173.55
12442.0,Spain,172.06
12444.0,Norway,5005.46
12445.0,Spain,133.4
12446.0,RSA,1002.3100000000001
12447.0,Belgium,476.49
12448.0,Spain,449.45
12449.0,Belgium,4067.29
12450.0,Spain,197.88
12451.0,Switzerland,8933.52
12452.0,Switzerland,428.57
12453.0,Austria,707.09
12454.0,Spain,5.684341886080802e-14
12455.0,Cyprus,1698.9
12455.0,Spain,767.96
12456.0,Switzerland,3153.89
12457.0,Cyprus,196.35
12457.0,Switzerland,1721.43
12458.0,Switzerland,947.4
12461.0,Switzerland,826.88
12462.0,Spain,1124.01
12463.0,Belgium,1303.63
12464.0,Belgium,1212.05
12465.0,Belgium,733.89
